Fiscal Date,Location Number and Desc,Net Sales Retail Amt,Net Sales Retail Amt LY,Net Sales Retail Amt Var LY %,Net Sales Qty,Net Sales Qty LY,Net Sales Qty Var LY %,Clr Net Sales Retail Amt,Clr Net Sales Retail Amt LY,Clr Net Sales Retail Amt Var LY %,Clearance Sales %,Clr Net Sales Qty,Clr Net Sales Qty LY,Clr Net Sales Qty Var LY %,Selling Margin Amt,Selling Margin Amt LY,Selling Margin % LY,Selling Margin %,Net Sales AUR,Net Sales AUR LY,Net Sales AUR Var LY %
02-02-2025,"232 TACOMA MALL - TACOMA, WA",13220.0,12874.0,2.7,600,631,-4.9,2677.0,2593.0,3.3,20.3%,138,138,0.0,5826.0,5958.0,46.3,44.1,22.03,20.4,8.0
02-02-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",12976.0,12056.0,7.6,539,537,0.4,2621.0,2370.0,10.6,20.2%,128,141,-9.2,6347.0,5779.0,47.9,48.9,24.07,22.45,7.2
02-02-2025,"2795 STONEBRIAR MALL - FRISCO, TX",23499.0,24559.0,-4.3,1000,1103,-9.3,5092.0,5278.0,-3.5,21.7%,200,210,-4.8,10569.0,11472.0,46.7,45.0,23.5,22.27,5.5
02-02-2025,"766 BRANDON TOWN CTR - BRANDON, FL",37206.0,37435.0,-0.6,1362,1287,5.8,4637.0,4248.0,9.2,12.5%,117,105,11.4,18226.0,18405.0,49.2,49.0,27.32,29.09,-6.1
02-02-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",13615.0,13903.0,-2.1,586,628,-6.7,2723.0,2784.0,-2.2,20.0%,117,127,-7.9,6022.0,6136.0,44.1,44.2,23.23,22.14,4.9
02-03-2025,"232 TACOMA MALL - TACOMA, WA",12684.0,12790.0,-0.8,520,531,-2.1,1729.0,1987.0,-13.0,13.6%,61,55,10.9,6050.0,6444.0,50.4,47.7,24.39,24.09,1.3
02-03-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",6356.0,6416.0,-0.9,282,267,5.6,1302.0,1242.0,4.8,20.5%,62,68,-8.8,3138.0,3059.0,47.7,49.4,22.54,24.03,-6.2
02-03-2025,"2795 STONEBRIAR MALL - FRISCO, TX",15825.0,17416.0,-9.1,693,715,-3.1,2412.0,2450.0,-1.6,15.2%,114,123,-7.3,7400.0,8007.0,46.0,46.8,22.84,24.36,-6.3
02-03-2025,"766 BRANDON TOWN CTR - BRANDON, FL",24873.0,24265.0,2.5,925,852,8.6,3211.0,3215.0,-0.1,12.9%,99,105,-5.7,11272.0,11785.0,48.6,45.3,26.89,28.48,-5.6
02-03-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",11251.0,10543.0,6.7,503,461,9.1,2332.0,2100.0,11.1,20.7%,97,102,-4.9,4563.0,4449.0,42.2,40.6,22.37,22.87,-2.2
02-04-2025,"232 TACOMA MALL - TACOMA, WA",11679.0,12041.0,-3.0,461,448,2.9,1977.0,1910.0,3.5,16.9%,88,97,-9.3,5424.0,5414.0,45.0,46.4,25.34,26.88,-5.7
02-04-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10172.0,9615.0,5.8,436,430,1.4,1853.0,1857.0,-0.2,18.2%,50,60,-16.7,4916.0,4576.0,47.6,48.3,23.33,22.36,4.3
