Location Number and Desc,Time Level - REQUIRED,Gross Margin Amt,Gross Margin Amt LY,Gross Margin %,Gross Margin % LY,Clr EOP Inv Qty,Reg POS EOP Inv Qty,Total EOP Qty,EOP Inv Qty,Reg POS Net Sales Qty,Clr Net Sales Qty,Inventory Health Index,Total Sell Through%,Regular Sell Through%,Clearance Sell Through%,Weeks Of Supply
"232 TACOMA MALL - TACOMA, WA",DY,105674,98752,36.98,33.07,26879,102938,129817,129817,2494,953,4.29,2.59,2.37,3.42,5
"232 TACOMA MALL - TACOMA, WA",HTD,2875432,2799504,35.35,33.88,26879,102938,129817,129817,79595,18540,4.29,43.05,43.61,40.82,17
"232 TACOMA MALL - TACOMA, WA",LW,75688,66160,31.48,29.08,26879,102938,129817,129817,1904,996,4.29,2.19,1.82,3.57,45
"232 TACOMA MALL - TACOMA, WA",MTD,152770,147609,34.05,31.74,26879,102938,129817,129817,4085,1327,4.29,4.0,3.82,4.7,96
"232 TACOMA MALL - TACOMA, WA",QTD,2066470,1880623,41.29,39.12,26879,102938,129817,129817,47551,12829,4.29,31.75,31.6,32.31,28
"232 TACOMA MALL - TACOMA, WA",WK,190522,173184,32.71,29.35,26879,102938,129817,129817,5776,1250,4.29,5.13,5.31,4.44,18
"232 TACOMA MALL - TACOMA, WA",WTD,147823,132695,34.62,33.2,26879,102938,129817,129817,3574,1577,4.29,3.82,3.36,5.54,25
"232 TACOMA MALL - TACOMA, WA",YTD,4891144,4504185,37.81,34.91,26879,102938,129817,129817,117940,38111,4.29,54.59,53.4,58.64,43
"2712 CAPITAL CITY MALL - CAMP HILL, PA",DY,117731,109081,31.7,30.06,33282,171853,205135,205135,3430,916,4.38,2.07,1.96,2.68,7
"2712 CAPITAL CITY MALL - CAMP HILL, PA",HTD,4469256,4257230,31.69,29.8,33282,171853,205135,205135,132590,32485,4.38,44.59,43.55,49.39,16
"2712 CAPITAL CITY MALL - CAMP HILL, PA",LW,104154,88745,35.56,32.12,33282,171853,205135,205135,2376,1052,4.38,1.64,1.36,3.06,60
"2712 CAPITAL CITY MALL - CAMP HILL, PA",MTD,224714,214248,40.01,38.53,33282,171853,205135,205135,5469,1104,4.38,3.1,3.08,3.21,125
"2712 CAPITAL CITY MALL - CAMP HILL, PA",QTD,1297568,1234705,33.87,31.97,33282,171853,205135,205135,31862,12968,4.38,17.93,15.64,28.04,59
