Location Number and Desc,Time Level - REQUIRED,Net Sales Retail Amt,Net Sales Retail Amt LY,Net Sales Retail Amt Var LY %,Net Sales Qty,Net Sales Qty LY,Net Sales Qty Var LY %,Clr Net Sales Retail Amt,Clr Net Sales Retail Amt LY,Clr Net Sales Retail Amt Var LY %,Clearance Sales %,Clr Net Sales Qty,Clr Net Sales Qty LY,Clr Net Sales Qty Var LY %,Selling Margin Amt,Selling Margin Amt LY,Selling Margin % LY,Selling Margin %,Net Sales AUR,Net Sales AUR LY,Net Sales AUR Var LY %
"232 TACOMA MALL - TACOMA, WA",DY,34725.0,36990.0,-6.1,1567,1490,5.2,9254.0,8524.0,8.6,26.65,757,668,13.3,15738.0,15488.0,41.9,45.3,22.16,24.83,-10.7
"232 TACOMA MALL - TACOMA, WA",WTD,36361.0,38689.0,-6.0,1598,1589,0.6,8725.0,10431.0,-16.4,24.0,557,479,16.3,16972.0,16357.0,42.3,46.7,22.75,24.35,-6.5
"232 TACOMA MALL - TACOMA, WA",MTD,337863.0,370851.0,-8.9,16004,15943,0.4,69683.0,70076.0,-0.6,20.62,4863,4687,3.8,143785.0,144751.0,39.0,42.6,21.11,23.26,-9.2
"232 TACOMA MALL - TACOMA, WA",YTD,11027722.0,10473852.0,5.3,525642,431576,21.8,2398652.0,2715320.0,-11.7,21.75,158135,132383,19.5,4465035.0,3892626.0,37.2,40.5,20.98,24.27,-13.6
"2712 CAPITAL CITY MALL - CAMP HILL, PA",DY,38577.0,41866.0,-7.9,1391,1281,8.6,8547.0,8882.0,-3.8,22.15,450,361,24.7,14023.0,14330.0,34.2,36.4,27.73,32.68,-15.1
"2712 CAPITAL CITY MALL - CAMP HILL, PA",WTD,74235.0,82718.0,-10.3,2883,2840,1.5,16777.0,17482.0,-4.0,22.6,864,878,-1.6,26357.0,30001.0,36.3,35.5,25.75,29.13,-11.6
"2712 CAPITAL CITY MALL - CAMP HILL, PA",MTD,457550.0,508482.0,-10.0,17394,15310,13.6,106499.0,113817.0,-6.4,23.28,6223,5546,12.2,153911.0,184980.0,36.4,33.6,26.31,33.21,-20.8
"2712 CAPITAL CITY MALL - CAMP HILL, PA",YTD,8695386.0,9513253.0,-8.6,317854,311345,2.1,1952839.0,1675895.0,16.5,22.46,93771,79819,17.5,3411758.0,4044605.0,42.5,39.2,27.36,30.56,-10.5
"2795 STONEBRIAR MALL - FRISCO, TX",DY,39045.0,33589.0,16.2,1757,1872,-6.1,9742.0,9616.0,1.3,24.95,672,660,1.8,11441.0,8909.0,26.5,29.3,22.22,17.94,23.9
"2795 STONEBRIAR MALL - FRISCO, TX",WTD,66231.0,58494.0,13.2,2888,3150,-8.3,14718.0,15646.0,-5.9,22.22,998,937,6.5,18632.0,16009.0,27.4,28.1,22.93,18.57,23.5
"2795 STONEBRIAR MALL - FRISCO, TX",MTD,214813.0,212699.0,1.0,10066,10411,-3.3,57172.0,66530.0,-14.1,26.61,3716,3106,19.6,64337.0,70795.0,33.3,30.0,21.34,20.43,4.5
"2795 STONEBRIAR MALL - FRISCO, TX",YTD,12864423.0,12389777.0,3.8,642764,673791,-4.6,3586556.0,2889718.0,24.1,27.88,238098,241082,-1.2,3695602.0,3798401.0,30.7,28.7,20.01,18.39,8.8
"766 BRANDON TOWN CTR - BRANDON, FL",DY,13984.0,14051.0,-0.5,670,613,9.3,1779.0,1616.0,10.1,12.72,134,152,-11.8,6040.0,5850.0,41.6,43.2,20.87,22.92,-8.9
"766 BRANDON TOWN CTR - BRANDON, FL",WTD,35187.0,36965.0,-4.8,1515,1489,1.7,4976.0,4830.0,3.0,14.14,315,348,-9.5,15065.0,15131.0,40.9,42.8,23.23,24.83,-6.4
"766 BRANDON TOWN CTR - BRANDON, FL",MTD,276512.0,253775.0,9.0,14001,14641,-4.4,38103.0,40793.0,-6.6,13.78,2838,2967,-4.3,119482.0,110409.0,43.5,43.2,19.75,17.33,13.9
"766 BRANDON TOWN CTR - BRANDON, FL",YTD,15428151.0,13325141.0,15.8,665241,585155,13.7,2062603.0,2405379.0,-14.3,13.37,136916,149357,-8.3,5828579.0,4384360.0,32.9,37.8,23.19,22.77,1.8
"786 MARLEY STATION MALL - GLEN BURNIE, MD",DY,22728.0,23217.0,-2.1,1038,905,14.7,5357.0,4418.0,21.2,23.57,367,342,7.3,8323.0,8883.0,38.3,36.6,21.9,25.65,-14.6
"786 MARLEY STATION MALL - GLEN BURNIE, MD",WTD,70489.0,75180.0,-6.2,2943,3137,-6.2,15601.0,15747.0,-0.9,22.13,1126,1260,-10.6,27120.0,24765.0,32.9,38.5,23.95,23.97,-0.1
"786 MARLEY STATION MALL - GLEN BURNIE, MD",MTD,132352.0,132763.0,-0.3,6382,5303,20.3,25370.0,26287.0,-3.5,19.17,1998,1681,18.9,44671.0,45844.0,34.5,33.8,20.74,25.04,-17.2
"786 MARLEY STATION MALL - GLEN BURNIE, MD",YTD,5468153.0,5846159.0,-6.5,263629,264749,-0.4,1067806.0,1115110.0,-4.2,19.53,65615,55823,17.5,1970432.0,2091676.0,35.8,36.0,20.74,22.08,-6.1
